# Spa-Francorchamps: geometria IDEALIZADA (rectas+circulos+clotoides) + rasante REAL (KML+DEM)
# elevacion via OpenTopoData / EU-DEM 25m; peralte sintetico
# kappa_1pm,elev_m,kerb,peralte_rad  (segmentos de 4.0 m)
0.014341,7.60,1,0.0941
0.013359,7.54,1,0.0878
0.011838,7.52,1,0.0790
0.010317,7.53,1,0.0684
0.008254,7.56,1,0.0562
0.006190,7.62,1,0.0428
0.004127,7.70,1,0.0292
0.002063,7.82,0,0.0154
0.000000,7.94,0,0.0000
-0.001735,8.06,0,-0.0114
-0.003470,8.19,0,-0.0247
-0.005205,8.33,1,-0.0380
-0.007197,8.47,1,-0.0507
-0.009188,8.62,1,-0.0629
-0.011180,8.77,1,-0.0738
-0.012690,8.93,1,-0.0835
-0.013972,9.08,1,-0.0916
-0.014410,9.22,1,-0.0975
-0.014848,9.35,1,-0.1013
-0.015286,9.46,1,-0.1028
-0.015118,9.57,1,-0.1021
-0.014950,9.66,1,-0.1001
-0.014228,9.74,1,-0.0966
-0.013283,9.81,1,-0.0916
-0.012338,9.86,1,-0.0856
-0.011392,9.91,1,-0.0787
-0.010280,9.94,1,-0.0715
-0.009168,9.97,1,-0.0640
-0.008057,9.98,1,-0.0567
-0.006945,9.98,1,-0.0494
-0.005833,9.97,1,-0.0424
-0.004977,9.95,1,-0.0356
-0.004122,9.91,1,-0.0293
-0.003266,9.87,0,-0.0235
-0.002411,9.81,0,-0.0182
-0.001776,9.74,0,-0.0137
-0.001141,9.66,0,-0.0100
-0.000506,9.57,0,-0.0071
-0.000467,9.47,0,-0.0051
-0.000428,9.35,0,0.0000
-0.000389,9.23,0,0.0000
-0.000350,9.09,0,0.0000
-0.000311,8.94,0,0.0000
-0.000272,8.80,0,0.0000
-0.000233,8.65,0,0.0000
-0.000195,8.51,0,0.0000
-0.000156,8.37,0,0.0000
-0.000117,8.24,0,0.0000
-0.000078,8.11,0,0.0000
-0.000039,7.98,0,0.0000
0.000000,7.85,0,0.0000
0.000105,7.72,0,0.0000
0.000210,7.60,0,0.0000
0.000315,7.48,0,0.0000
0.000421,7.36,0,0.0000
0.000526,7.25,0,0.0000
0.000332,7.14,0,0.0000
0.000139,7.03,0,0.0000
-0.000054,6.92,0,0.0000
-0.000248,6.82,0,0.0000
-0.000441,6.72,0,0.0000
-0.000397,6.62,0,0.0000
-0.000353,6.52,0,0.0000
-0.000309,6.43,0,0.0000
-0.000265,6.34,0,0.0000
-0.000220,6.25,0,0.0000
-0.000176,6.16,0,0.0000
-0.000132,6.08,0,0.0000
-0.000088,6.00,0,0.0000
-0.000044,5.92,0,0.0000
0.000000,5.85,0,0.0000
-0.000104,5.77,0,0.0000
-0.000207,5.70,0,0.0000
-0.000311,5.63,0,0.0000
-0.000415,5.57,0,0.0000
-0.000518,5.51,0,0.0000
-0.000622,5.45,0,0.0000
-0.000446,5.39,0,0.0000
-0.000270,5.34,0,0.0000
-0.000094,5.28,0,0.0000
0.000082,5.23,0,0.0000
0.000258,5.19,0,0.0000
0.000433,5.14,0,0.0000
0.000409,5.10,0,0.0000
0.000385,5.06,0,0.0000
0.000360,5.03,0,0.0000
0.000336,4.99,0,0.0000
0.000312,4.96,0,0.0000
0.000287,4.93,0,0.0000
0.000263,4.90,0,0.0000
0.000239,4.85,0,0.0000
0.000214,4.80,0,0.0000
0.000190,4.74,0,0.0000
0.000166,4.67,0,0.0000
0.000142,4.59,0,0.0000
0.000117,4.50,0,0.0000
0.000093,4.41,0,0.0000
0.000069,4.31,0,0.0000
0.000044,4.20,0,0.0000
0.000020,4.08,0,0.0000
-0.000004,3.95,0,0.0000
-0.000029,3.82,0,0.0000
-0.000053,3.68,0,0.0000
-0.000077,3.53,0,0.0000
-0.000102,3.37,0,0.0000
-0.000126,3.20,0,0.0000
-0.000150,3.03,0,0.0000
-0.000175,2.84,0,0.0000
-0.000199,2.65,0,0.0000
-0.000223,2.45,0,0.0000
-0.000248,2.24,0,0.0000
-0.000220,2.03,0,0.0000
-0.000193,1.80,0,0.0000
-0.000165,1.57,0,0.0000
-0.000138,1.33,0,0.0000
-0.000110,1.08,0,0.0000
-0.000083,0.82,0,0.0000
-0.000055,0.56,0,0.0000
-0.000028,0.29,0,0.0000
0.000000,0.01,0,0.0000
0.000000,-0.28,0,0.0000
0.000000,-0.58,0,0.0000
0.000000,-0.87,0,0.0000
0.000000,-1.16,0,0.0000
0.000000,-1.44,0,0.0000
0.000000,-1.72,0,0.0000
0.000000,-1.99,0,0.0000
0.000000,-2.26,0,0.0000
0.000000,-2.52,0,0.0000
0.000000,-2.78,0,0.0000
0.000000,-3.03,0,0.0000
0.000000,-3.28,0,0.0000
0.000000,-3.52,0,0.0000
0.000000,-3.75,0,0.0000
0.000000,-3.99,0,0.0000
0.000000,-4.21,0,0.0000
0.000000,-4.43,0,0.0000
0.000000,-4.65,0,0.0000
0.000000,-4.86,0,0.0000
0.000000,-5.06,0,0.0000
0.000050,-5.27,0,0.0000
0.000099,-5.46,0,0.0000
0.000149,-5.65,0,0.0000
0.000199,-5.84,0,0.0000
0.000248,-6.02,0,0.0000
0.000298,-6.19,0,0.0000
0.000348,-6.36,0,0.0000
0.000318,-6.53,0,0.0000
0.000289,-6.69,0,0.0000
0.000259,-6.84,0,0.0000
0.000229,-6.99,0,0.0000
0.000200,-7.14,0,0.0000
0.000170,-7.27,0,0.0000
0.000140,-7.41,0,0.0000
0.000111,-7.54,0,0.0000
0.000081,-7.66,0,0.0000
0.000052,-7.78,0,0.0000
0.000022,-7.90,0,0.0000
-0.000008,-8.00,0,0.0000
-0.000037,-8.11,0,0.0000
-0.000067,-8.21,0,0.0000
-0.000097,-8.30,0,0.0000
-0.000126,-8.39,0,0.0000
-0.000156,-8.47,0,0.0000
-0.000185,-8.55,0,0.0000
-0.000215,-8.62,0,0.0000
-0.000208,-8.69,0,0.0000
-0.000202,-8.75,0,0.0000
-0.000195,-8.81,0,0.0000
-0.000188,-8.87,0,0.0000
-0.000181,-8.92,0,0.0000
-0.000175,-8.98,0,0.0000
-0.000168,-9.03,0,0.0000
-0.000161,-9.08,0,0.0000
-0.000155,-9.14,0,0.0000
-0.000148,-9.19,0,0.0000
-0.000141,-9.24,0,0.0000
-0.000134,-9.28,0,0.0000
-0.000128,-9.33,0,0.0000
-0.000121,-9.38,0,0.0000
-0.000114,-9.42,0,0.0000
-0.000108,-9.47,0,0.0000
-0.000101,-9.51,0,0.0000
-0.000094,-9.55,0,0.0000
-0.000087,-9.59,0,0.0000
-0.000081,-9.63,0,0.0000
-0.000074,-9.67,0,0.0000
-0.000067,-9.71,0,0.0000
-0.000060,-9.74,0,0.0000
-0.000054,-9.78,0,0.0000
-0.000047,-9.81,0,0.0000
-0.000040,-9.85,0,0.0000
-0.000034,-9.88,0,0.0000
-0.000027,-9.91,0,0.0000
-0.000020,-9.94,0,0.0000
-0.000013,-9.97,0,0.0000
-0.000007,-9.99,0,0.0000
0.000000,-10.02,0,0.0000
-0.000033,-10.05,0,0.0000
-0.000066,-10.07,0,0.0000
-0.000100,-10.10,0,0.0000
-0.000133,-10.12,0,0.0000
-0.000166,-10.14,0,0.0000
-0.000199,-10.16,0,0.0000
-0.000232,-10.18,0,0.0000
-0.000265,-10.20,0,0.0000
-0.000553,-10.21,0,-0.0046
-0.000840,-10.24,0,-0.0061
-0.001127,-10.27,0,-0.0077
-0.001414,-10.32,0,-0.0093
-0.001702,-10.37,0,-0.0106
-0.001775,-10.43,0,-0.0118
-0.001849,-10.50,0,-0.0127
-0.001922,-10.57,0,-0.0135
-0.001995,-10.66,0,-0.0140
-0.002069,-10.75,0,-0.0145
-0.002142,-10.86,0,-0.0150
-0.002216,-10.97,0,-0.0155
-0.002289,-11.09,0,-0.0160
-0.002362,-11.22,0,-0.0167
-0.002436,-11.35,0,-0.0175
-0.002509,-11.50,0,-0.0184
-0.002720,-11.65,0,-0.0195
-0.002931,-11.82,0,-0.0207
-0.003141,-11.99,0,-0.0216
-0.003352,-12.17,0,-0.0221
-0.003563,-12.36,0,-0.0223
-0.003335,-12.55,0,-0.0220
-0.003106,-12.76,0,-0.0213
-0.002878,-12.98,0,-0.0201
-0.002649,-13.20,0,-0.0185
-0.002421,-13.43,0,-0.0169
-0.002193,-13.67,0,-0.0153
-0.001964,-13.92,0,-0.0137
-0.001736,-14.18,0,-0.0122
-0.001508,-14.44,0,-0.0107
-0.001279,-14.72,0,-0.0094
-0.001051,-15.00,0,-0.0082
-0.000971,-15.29,0,-0.0072
-0.000892,-15.59,0,-0.0064
-0.000813,-15.90,0,-0.0057
-0.000733,-16.22,0,-0.0050
-0.000654,-16.54,0,-0.0041
-0.000574,-16.88,0,0.0000
-0.000320,-17.21,0,0.0000
-0.000066,-17.54,0,0.0000
0.000189,-17.87,0,0.0000
0.000443,-18.20,0,0.0000
0.000459,-18.53,0,0.0000
0.000474,-18.85,0,0.0000
0.000490,-19.17,0,0.0000
0.000506,-19.50,0,0.0000
0.000522,-19.81,0,0.0000
0.000537,-20.13,0,0.0000
0.000409,-20.45,0,0.0000
0.000281,-20.76,0,0.0000
0.000152,-21.07,0,0.0000
0.000024,-21.38,0,0.0000
-0.000105,-21.69,0,0.0000
-0.000233,-22.00,0,0.0000
-0.000362,-22.31,0,0.0000
-0.000330,-22.61,0,0.0000
-0.000299,-22.91,0,0.0000
-0.000267,-23.21,0,0.0000
-0.000235,-23.51,0,0.0000
-0.000204,-23.81,0,0.0000
-0.000172,-24.10,0,0.0000
-0.000140,-24.40,0,0.0000
-0.000109,-24.69,0,0.0000
-0.000077,-24.98,0,0.0000
-0.000046,-25.27,0,0.0000
-0.000014,-25.56,0,0.0000
0.000018,-25.87,0,0.0000
0.000049,-26.18,0,0.0000
0.000081,-26.50,0,0.0000
0.000112,-26.83,0,0.0000
0.000144,-27.16,0,0.0000
0.000176,-27.50,0,0.0000
0.000207,-27.85,0,0.0000
0.000239,-28.21,0,0.0000
0.000271,-28.58,0,0.0000
0.000302,-28.95,0,0.0000
0.000334,-29.34,0,0.0000
0.000365,-29.73,0,0.0000
0.000397,-30.12,0,0.0000
0.000429,-30.53,0,0.0051
0.000816,-30.94,0,0.0068
0.001203,-31.36,0,0.0088
0.001591,-31.79,0,0.0110
0.001978,-32.23,0,0.0133
0.002365,-32.67,0,0.0155
0.002579,-33.13,0,0.0175
0.002792,-33.59,0,0.0194
0.003005,-34.06,0,0.0210
0.003219,-34.53,0,0.0225
0.003432,-35.02,0,0.0240
0.003646,-35.51,0,0.0255
0.003859,-36.01,0,0.0270
0.004072,-36.51,1,0.0285
0.004286,-37.03,1,0.0300
0.004499,-37.55,1,0.0312
0.004713,-38.08,1,0.0321
0.004926,-38.62,1,0.0328
0.004853,-39.17,1,0.0331
0.004780,-39.70,1,0.0328
0.004707,-40.23,1,0.0319
0.004634,-40.75,1,0.0299
0.004206,-41.27,1,0.0270
0.003779,-41.77,0,0.0234
0.002900,-42.26,0,0.0189
0.002020,-42.75,0,0.0137
0.001141,-43.23,0,0.0085
0.000262,-43.69,0,0.0000
-0.000617,-44.15,0,0.0000
-0.000992,-44.60,0,-0.0054
-0.001368,-45.05,0,-0.0091
-0.001743,-45.48,0,-0.0122
-0.002118,-45.90,0,-0.0148
-0.002493,-46.32,0,-0.0175
-0.002868,-46.73,0,-0.0201
-0.003244,-47.13,0,-0.0228
-0.003619,-47.52,0,-0.0257
-0.003994,-47.90,0,-0.0287
-0.004496,-48.27,1,-0.0319
-0.004999,-48.64,1,-0.0351
-0.005501,-48.99,1,-0.0383
-0.006004,-49.34,1,-0.0415
-0.006506,-49.68,1,-0.0441
-0.006821,-50.00,1,-0.0464
-0.007135,-50.32,1,-0.0482
-0.007182,-50.64,1,-0.0491
-0.007228,-50.94,1,-0.0493
-0.007275,-51.23,1,-0.0491
-0.006977,-51.52,1,-0.0487
-0.006679,-51.80,1,-0.0481
-0.006670,-52.07,1,-0.0476
-0.006661,-52.33,1,-0.0469
-0.006652,-52.58,1,-0.0466
-0.006643,-52.82,1,-0.0465
-0.006634,-53.05,1,-0.0464
-0.006625,-53.28,1,-0.0464
-0.006616,-53.49,1,-0.0458
-0.006607,-53.70,1,-0.0447
-0.006598,-53.90,1,-0.0431
-0.006073,-54.09,1,-0.0407
-0.005547,-54.27,1,-0.0374
-0.005021,-54.45,1,-0.0334
-0.004200,-54.61,1,-0.0281
-0.003379,-54.77,0,-0.0221
-0.002558,-54.91,0,-0.0153
-0.001303,-55.05,0,-0.0082
-0.000047,-55.18,0,0.0000
0.001208,-55.30,0,0.0052
0.002039,-55.41,0,0.0108
0.002870,-55.52,0,0.0153
0.002969,-55.61,0,0.0186
0.003068,-55.70,0,0.0207
0.003167,-55.78,0,0.0222
0.003267,-55.85,0,0.0229
0.003366,-55.91,0,0.0236
0.003465,-55.96,0,0.0243
0.003565,-56.00,0,0.0250
0.003664,-56.03,0,0.0256
0.003763,-56.06,0,0.0263
0.003862,-56.08,0,0.0268
0.003962,-56.08,0,0.0270
0.004061,-56.08,1,0.0266
0.003929,-56.07,0,0.0254
0.003797,-56.06,0,0.0235
0.003188,-56.03,0,0.0209
0.002579,-55.99,0,0.0176
0.001971,-55.95,0,0.0142
0.001362,-55.90,0,0.0106
0.000753,-55.84,0,0.0074
0.000502,-55.77,0,0.0048
0.000251,-55.69,0,0.0000
0.000000,-55.60,0,0.0000
0.000000,-55.50,0,0.0000
0.000000,-55.40,0,0.0000
0.000000,-55.28,0,0.0000
0.000000,-55.16,0,0.0000
0.000000,-55.03,0,0.0000
0.000000,-54.89,0,0.0000
0.000000,-54.74,0,0.0000
0.000000,-54.59,0,0.0000
0.000000,-54.42,0,0.0000
0.000000,-54.25,0,0.0000
0.000000,-54.06,0,0.0000
0.000000,-53.87,0,0.0000
0.000000,-53.67,0,0.0000
0.000000,-53.46,0,0.0000
0.000000,-53.24,0,0.0000
0.000000,-53.02,0,0.0000
0.000000,-52.78,0,0.0000
0.000000,-52.54,0,0.0000
0.000000,-52.29,0,0.0000
0.000000,-52.03,0,0.0000
0.000000,-51.76,0,0.0000
0.000000,-51.48,0,0.0000
0.000000,-51.19,0,0.0000
0.000000,-50.89,0,0.0000
0.000000,-50.60,0,0.0000
0.000000,-50.31,0,0.0000
0.000000,-50.02,0,0.0000
0.000000,-49.74,0,0.0000
0.000000,-49.46,0,0.0000
0.000000,-49.18,0,0.0000
0.000000,-48.90,0,0.0000
0.000000,-48.63,0,0.0000
0.000000,-48.36,0,0.0000
0.000000,-48.09,0,0.0000
0.000000,-47.83,0,0.0000
0.000000,-47.57,0,0.0000
0.000000,-47.31,0,0.0000
0.000000,-47.05,0,0.0000
0.000000,-46.80,0,0.0000
0.000000,-46.55,0,0.0000
0.000000,-46.31,0,0.0000
0.000000,-46.06,0,0.0000
0.000000,-45.82,0,0.0000
0.000000,-45.58,0,0.0000
0.000000,-45.35,0,0.0000
0.000000,-45.12,0,0.0000
0.000000,-44.89,0,0.0000
-0.000239,-44.66,0,0.0000
-0.000478,-44.44,0,0.0000
-0.000716,-44.21,0,-0.0048
-0.000955,-43.97,0,-0.0061
-0.001194,-43.72,0,-0.0072
-0.001245,-43.47,0,-0.0082
-0.001296,-43.22,0,-0.0089
-0.001347,-42.95,0,-0.0094
-0.001398,-42.68,0,-0.0098
-0.001449,-42.40,0,-0.0101
-0.001500,-42.12,0,-0.0105
-0.001551,-41.83,0,-0.0109
-0.001602,-41.53,0,-0.0112
-0.001653,-41.23,0,-0.0116
-0.001704,-40.91,0,-0.0119
-0.001755,-40.60,0,-0.0123
-0.001806,-40.27,0,-0.0126
-0.001857,-39.94,0,-0.0130
-0.001908,-39.60,0,-0.0131
-0.001959,-39.26,0,-0.0131
-0.002010,-38.90,0,-0.0128
-0.001845,-38.54,0,-0.0123
-0.001680,-38.18,0,-0.0115
-0.001515,-37.81,0,-0.0108
-0.001350,-37.43,0,-0.0101
-0.001185,-37.04,0,-0.0096
-0.001234,-36.65,0,-0.0093
-0.001282,-36.25,0,-0.0092
-0.001331,-35.87,0,-0.0093
-0.001380,-35.49,0,-0.0097
-0.001429,-35.14,0,-0.0100
-0.001478,-34.79,0,-0.0103
-0.001526,-34.47,0,-0.0107
-0.001575,-34.15,0,-0.0110
-0.001624,-33.85,0,-0.0114
-0.001673,-33.56,0,-0.0117
-0.001722,-33.29,0,-0.0119
-0.001771,-33.03,0,-0.0120
-0.001819,-32.79,0,-0.0120
-0.001748,-32.56,0,-0.0119
-0.001676,-32.34,0,-0.0116
-0.001605,-32.14,0,-0.0112
-0.001533,-31.95,0,-0.0107
-0.001462,-31.78,0,-0.0102
-0.001390,-31.62,0,-0.0097
-0.001318,-31.47,0,-0.0092
-0.001247,-31.34,0,-0.0087
-0.001175,-31.21,0,-0.0082
-0.001104,-31.07,0,-0.0077
-0.001032,-30.92,0,-0.0072
-0.000961,-30.77,0,-0.0067
-0.000889,-30.62,0,-0.0062
-0.000818,-30.46,0,-0.0057
-0.000746,-30.30,0,-0.0052
-0.000674,-30.14,0,-0.0047
-0.000603,-29.97,0,-0.0042
-0.000531,-29.79,0,0.0000
-0.000460,-29.61,0,0.0000
-0.000388,-29.43,0,-0.0040
-0.000535,-29.24,0,-0.0044
-0.000682,-29.05,0,-0.0050
-0.000829,-28.86,0,-0.0056
-0.000975,-28.66,0,-0.0063
-0.001122,-28.45,0,-0.0068
-0.001086,-28.24,0,-0.0071
-0.001050,-28.03,0,-0.0072
-0.001014,-27.81,0,-0.0071
-0.000978,-27.59,0,-0.0068
-0.000941,-27.37,0,-0.0066
-0.000905,-27.14,0,-0.0063
-0.000869,-26.90,0,-0.0061
-0.000833,-26.66,0,-0.0060
-0.000797,-26.42,0,-0.0060
-0.000760,-26.17,0,-0.0062
-0.000864,-25.92,0,-0.0065
-0.000968,-25.67,0,-0.0069
-0.001072,-25.41,0,-0.0075
-0.001176,-25.14,0,-0.0082
-0.001280,-24.87,0,-0.0092
-0.001384,-24.60,0,-0.0103
-0.001488,-24.32,0,-0.0117
-0.001803,-24.04,0,-0.0141
