# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
-0.000246,-19.41,0,0.0000,5.88
-0.000294,-19.51,0,0.0000,5.85
-0.000303,-19.61,0,0.0000,5.83
-0.000317,-19.70,0,0.0000,5.80
-0.000340,-19.78,0,0.0000,5.78
-0.000374,-19.86,0,0.0000,5.75
-0.000392,-19.94,0,0.0000,5.72
-0.000410,-20.01,0,0.0000,5.70
-0.000388,-20.07,0,0.0000,5.67
-0.000284,-20.13,0,0.0000,5.65
-0.000047,-20.19,0,0.0000,5.61
0.000488,-20.23,0,0.0050,5.57
0.001078,-20.28,0,0.0086,5.53
0.001737,-20.32,0,0.0130,5.49
0.002438,-20.35,0,0.0179,5.45
0.003211,-20.38,0,0.0230,5.40
0.004119,-20.40,1,0.0281,5.36
0.004835,-20.42,1,0.0334,5.29
0.005547,-20.44,1,0.0387,5.18
0.006242,-20.44,1,0.0438,5.08
0.007029,-20.45,1,0.0484,4.97
0.007738,-20.45,1,0.0528,4.89
0.008265,-20.44,1,0.0572,4.81
0.008763,-20.43,1,0.0614,4.74
0.009248,-20.41,1,0.0655,4.67
0.009940,-20.39,1,0.0694,4.64
0.010463,-20.36,1,0.0734,4.63
0.011041,-20.33,1,0.0777,4.62
0.011657,-20.29,1,0.0821,4.61
0.012298,-20.25,1,0.0858,4.59
0.013098,-20.20,1,0.0888,4.59
0.013578,-20.15,1,0.0907,4.60
0.013679,-20.09,1,0.0911,4.60
0.013467,-20.02,1,0.0896,4.62
0.012959,-19.96,1,0.0861,4.67
0.012054,-19.90,1,0.0810,4.68
0.010723,-19.83,1,0.0745,4.67
0.009623,-19.77,1,0.0663,4.65
0.008459,-19.70,1,0.0567,4.60
0.007180,-19.64,1,0.0464,4.56
0.005280,-19.57,1,0.0361,4.60
0.003410,-19.51,0,0.0261,4.64
0.001763,-19.45,0,0.0173,4.68
0.000412,-19.38,0,0.0108,4.68
-0.000414,-19.32,0,0.0075,4.68
-0.000313,-19.25,0,0.0078,4.67
0.000642,-19.19,0,0.0115,4.67
0.002035,-19.12,0,0.0186,4.66
0.003650,-19.06,0,0.0282,4.65
0.005448,-18.99,1,0.0395,4.64
0.007562,-18.93,1,0.0515,4.63
0.009215,-18.87,1,0.0643,4.62
0.010926,-18.80,1,0.0770,4.61
0.012710,-18.74,1,0.0888,4.60
0.014787,-18.67,1,0.0990,4.59
0.016381,-18.61,1,0.1047,4.58
0.017263,-18.55,1,0.1047,4.60
0.017734,-18.51,1,0.1047,4.68
0.017796,-18.48,1,0.1047,4.78
0.017407,-18.46,1,0.1047,4.84
0.016920,-18.45,1,0.1047,4.88
0.016547,-18.46,1,0.1047,4.92
0.016220,-18.49,1,0.1047,4.94
0.015949,-18.52,1,0.1047,4.97
0.015964,-18.57,1,0.1047,4.95
0.015671,-18.64,1,0.1047,4.93
0.015627,-18.71,1,0.1047,4.91
0.015628,-18.80,1,0.1047,4.92
0.015680,-18.89,1,0.1047,4.96
0.016133,-18.99,1,0.1047,4.98
0.016047,-19.08,1,0.1047,4.98
0.016361,-19.17,1,0.1047,4.96
0.016786,-19.26,1,0.1047,4.95
0.017314,-19.35,1,0.1047,4.92
0.018062,-19.44,1,0.1047,4.91
0.018755,-19.53,1,0.1047,4.92
0.019411,-19.62,1,0.1047,4.93
0.019734,-19.72,1,0.1047,4.94
0.019556,-19.81,1,0.1047,4.94
0.018442,-19.90,1,0.1047,4.92
0.016705,-19.99,1,0.1047,4.86
0.014622,-20.08,1,0.1003,4.80
0.012466,-20.17,1,0.0870,4.76
0.010457,-20.26,1,0.0734,4.78
0.008065,-20.36,1,0.0600,4.80
0.006291,-20.44,1,0.0471,4.78
0.004768,-20.51,1,0.0349,4.74
0.003290,-20.57,0,0.0239,4.70
0.001780,-20.61,0,0.0148,4.65
