# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.014526,7.82,1,0.0941
0.009318,7.94,1,0.0641
0.004111,8.06,1,0.0288
-0.001097,8.19,0,-0.0077
-0.006304,8.33,1,-0.0430
-0.011512,8.47,1,-0.0731
-0.016720,8.62,1,-0.0979
-0.020772,8.77,1,-0.1047
-0.020772,8.93,1,-0.1047
-0.020772,9.08,1,-0.1047
-0.020772,9.22,1,-0.1047
-0.020772,9.35,1,-0.1047
-0.020772,9.46,1,-0.1047
-0.020772,9.57,1,-0.1047
-0.020772,9.66,1,-0.1047
-0.020772,9.74,1,-0.1047
-0.020772,9.81,1,-0.1047
-0.018458,9.86,1,-0.1047
-0.013385,9.91,1,-0.0849
-0.008311,9.94,1,-0.0642
-0.003237,9.97,0,-0.0434
0.000000,9.98,0,-0.0249
0.000000,9.98,0,-0.0115
0.000000,9.97,0,0.0000
0.000000,9.95,0,0.0000
0.000000,9.91,0,0.0000
0.000000,9.87,0,0.0000
0.000000,9.81,0,0.0000
0.000000,9.74,0,0.0000
0.000000,9.66,0,0.0000
0.000000,9.57,0,0.0000
0.000000,9.47,0,0.0000
0.000000,9.35,0,0.0000
0.000000,9.23,0,0.0000
0.000000,9.09,0,0.0000
0.000000,8.94,0,0.0000
0.000000,8.80,0,0.0000
0.000000,8.65,0,0.0000
0.000000,8.51,0,0.0000
0.000000,8.37,0,0.0000
0.000000,8.24,0,0.0000
0.000000,8.11,0,0.0000
0.000000,7.98,0,0.0000
0.000000,7.85,0,0.0000
0.000000,7.72,0,0.0000
0.000000,7.60,0,0.0000
0.000000,7.48,0,0.0000
0.000000,7.36,0,0.0000
0.000000,7.25,0,0.0000
0.000000,7.14,0,0.0000
0.000000,7.03,0,0.0000
0.000000,6.92,0,0.0000
0.000000,6.82,0,0.0000
0.000000,6.72,0,0.0000
0.000000,6.62,0,0.0000
0.000000,6.52,0,0.0000
0.000000,6.43,0,0.0000
0.000000,6.34,0,0.0000
0.000000,6.25,0,0.0000
0.000000,6.16,0,0.0000
0.000000,6.08,0,0.0000
0.000000,6.00,0,0.0000
0.000000,5.92,0,0.0000
0.000000,5.85,0,0.0000
0.000000,5.77,0,0.0000
0.000000,5.70,0,0.0000
0.000000,5.63,0,0.0000
0.000000,5.57,0,0.0000
0.000000,5.51,0,0.0000
